type,city,fare,ride_id,driver_count
Urban,Richardfort,13.93,5628545007794,38
Urban,Richardfort,14.0,910050116494,38
Urban,Richardfort,17.92,820639054416,38
Urban,Richardfort,10.26,9554935945413,38
Urban,Richardfort,23.0,720020655850,38
Urban,Richardfort,9.54,3698147103219,38
Urban,Richardfort,29.04,4982665519010,38
Urban,Richardfort,16.55,2270463070874,38
Urban,Richardfort,40.77,9496210735824,38
Urban,Richardfort,27.11,8690324801449,38
Urban,Richardfort,39.74,4081388893008,38
Urban,Richardfort,43.92,4066949857460,38
Urban,Richardfort,14.83,9474112834050,38
Urban,Richardfort,7.75,5539056178883,38
Urban,Richardfort,44.11,2503858662225,38
Urban,Richardfort,30.31,6106446829435,38
Urban,Richardfort,11.42,2916078036620,38
Urban,Richardfort,25.81,9110913538598,38
Urban,Richardfort,8.28,5127600643309,38
Urban,Richardfort,42.22,4051093040264,38
Urban,Richardfort,16.35,6077906760851,38
Urban,Richardfort,4.85,3291539624738,38
Urban,Richardfort,43.01,7636011510547,38
Urban,Richardfort,10.91,3567611375530,38
Urban,Richardfort,21.39,237473464569,38
Urban,Richardfort,16.35,5934239154720,38
Urban,Richardfort,5.32,3268844473610,38
Urban,Richardfort,37.76,4802688422688,38
Urban,Williamsstad,19.62,125986195523,59
Urban,Williamsstad,35.58,4747780858464,59
Urban,Williamsstad,33.72,3796713212942,59
Urban,Williamsstad,26.81,4542954169892,59
Urban,Williamsstad,4.68,9109973457376,59
Urban,Williamsstad,25.02,1313211827663,59
Urban,Williamsstad,23.12,969457753191,59
Urban,Williamsstad,18.67,2161825345900,59
Urban,Williamsstad,17.57,7099676230210,59
Urban,Williamsstad,4.9,7176452471538,59
Urban,Williamsstad,32.43,7177820757193,59
Urban,Williamsstad,20.56,5813755050580,59
Urban,Williamsstad,40.79,8720870563338,59
Urban,Williamsstad,43.5,2047847470762,59
Urban,Williamsstad,42.93,2209997295019,59
Urban,Williamsstad,18.92,1606397653905,59
Urban,Williamsstad,26.99,8562558271094,59
Urban,Williamsstad,16.83,1516898097903,59
Urban,Williamsstad,26.43,8987900630211,59
Urban,Williamsstad,18.79,5023157350397,59
Urban,Williamsstad,17.16,28294640252,59
Urban,Williamsstad,13.79,5771635421960,59
Urban,Williamsstad,31.52,778427079687,59
Urban,Port Angela,16.34,7120534266772,67
Urban,Port Angela,30.77,662264490197,67
Urban,Port Angela,11.9,7009806605900,67
Urban,Port Angela,30.38,5165542108944,67
Urban,Port Angela,40.35,4930810733132,67
Urban,Port Angela,35.76,7945958687114,67
Urban,Port Angela,7.91,6767308381142,67
Urban,Port Angela,17.21,1694214658257,67
Urban,Port Angela,20.16,6490089576161,67
Urban,Port Angela,23.06,2750735754263,67
Urban,Port Angela,28.52,6783567697046,67
Urban,Port Angela,15.58,7388734438164,67
Urban,Port Angela,24.47,1469816216996,67
Urban,Port Angela,11.39,6108669570569,67
Urban,Port Angela,42.04,896909208063,67
Urban,Port Angela,43.18,1889756483447,67
Urban,Port Angela,25.84,8022436129393,67
Urban,Port Angela,6.42,9465215247151,67
Urban,Port Angela,21.62,6302510153615,67
Urban,Rodneyfort,23.44,5149245426178,34
Urban,Rodneyfort,44.26,2494064867705,34
Urban,Rodneyfort,44.86,2325699544245,34
Urban,Rodneyfort,21.7,8534600667414,34
Urban,Rodneyfort,16.99,5778730523049,34
Urban,Rodneyfort,29.4,1184254566839,34
Urban,Rodneyfort,30.02,2497021545678,34
Urban,Rodneyfort,42.57,6354946184466,34
Urban,Rodneyfort,27.16,3765495922622,34
Urban,Rodneyfort,28.69,275697942784,34
Urban,Rodneyfort,36.3,9048909984411,34
Urban,Rodneyfort,29.13,4634913853499,34
Urban,Rodneyfort,25.4,9060368477501,34
Urban,Rodneyfort,7.78,2859632419166,34
Urban,Rodneyfort,44.28,6979257207125,34
Urban,Rodneyfort,27.81,5669400941983,34
Urban,Rodneyfort,30.83,4175051895472,34
